,tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
694,786233965241827333,17021,5500,Wed Oct 12 15:55:59 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/2NsFXeX1Io
695,786051337297522688,1598,176,Wed Oct 12 03:50:17 +0000 2016,Twitter for iPhone,Original tweet,t
696,786036967502913536,0,8100,Wed Oct 12 02:53:11 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
697,785927819176054784,12581,3606,Tue Oct 11 19:39:28 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/lntsj7Fc4Y
698,785872687017132033,7416,2101,Tue Oct 11 16:00:24 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/1j9kLGb4wV
699,785639753186217984,8655,2539,Tue Oct 11 00:34:48 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/aBsZTpv6mM
700,785533386513321988,10096,2308,Mon Oct 10 17:32:08 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/h4jhlH4EyG
701,785515384317313025,6762,1455,Mon Oct 10 16:20:36 +0000 2016,Twitter for iPhone,Original tweet,y
702,785264754247995392,8065,1888,Sun Oct 09 23:44:41 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/mWYACm4qnx
703,785170936622350336,13390,5578,Sun Oct 09 17:31:53 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/rKCJnWRpR2
704,784826020293709826,11223,3682,Sat Oct 08 18:41:19 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/AsykOwMrXQ
705,784517518371221505,9961,2923,Fri Oct 07 22:15:26 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/p6fgYe2dB6
706,784431430411685888,6287,1477,Fri Oct 07 16:33:21 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/PHA1vtqqpt
707,784183165795655680,22322,9270,Fri Oct 07 00:06:50 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/t0cEeRbcXJ
708,784057939640352768,33197,12824,Thu Oct 06 15:49:14 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/T7Jr4Gw4sC
709,783839966405230592,33381,12470,Thu Oct 06 01:23:05 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/KOTzaG7hiq
710,783821107061198850,8143,2247,Thu Oct 06 00:08:09 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/STcPjiNAHp
711,783695101801398276,11560,3686,Wed Oct 05 15:47:27 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/iwUv1KnD1P
712,783466772167098368,9394,2577,Wed Oct 05 00:40:09 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/UAw6F2p7ta
713,783391753726550016,18736,6345,Tue Oct 04 19:42:03 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/BO936YdJdi
714,783347506784731136,0,6462,Tue Oct 04 16:46:14 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
715,783334639985389568,32378,13434,Tue Oct 04 15:55:06 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/nfprKAXqwu
716,783085703974514689,9017,2529,Mon Oct 03 23:25:55 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/IsqyvbjFgM
717,782969140009107456,26750,8421,Mon Oct 03 15:42:44 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/vOBV1ZqVcX
718,782747134529531904,8244,1588,Mon Oct 03 01:00:34 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/C6fUMnHt1H
719,782722598790725632,19100,6168,Sun Oct 02 23:23:04 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/zrMVdfFej6
720,782598640137187329,8629,2162,Sun Oct 02 15:10:30 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/BIUchFwHqn
721,782305867769217024,18466,6384,Sat Oct 01 19:47:08 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/pgVKxRw0s1
722,782021823840026624,0,7160,Sat Oct 01 00:58:26 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
723,781955203444699136,12272,3862,Fri Sep 30 20:33:43 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/3eXbCXZXXT
724,781661882474196992,11532,3099,Fri Sep 30 01:08:10 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/ELqelxWMrC
725,781655249211752448,4419,1293,Fri Sep 30 00:41:48 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/LOKrNo0OM7
726,781524693396357120,22976,6346,Thu Sep 29 16:03:01 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/ya7bviQUUf
727,781308096455073793,7897,2922,Thu Sep 29 01:42:20 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/WQvcPEpH2u
728,781251288990355457,9351,2417,Wed Sep 28 21:56:36 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/xIYsa6LPA4
729,781163403222056960,10803,3126,Wed Sep 28 16:07:23 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/YkHc7U7uUy
730,780931614150983680,23975,8429,Wed Sep 28 00:46:20 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/5dUYOu4b8d
731,780858289093574656,7956,2291,Tue Sep 27 19:54:58 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Ar4T1lFM5C
732,780800785462489090,6090,1483,Tue Sep 27 16:06:28 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/KQzSR8eCsw
733,780601303617732608,13403,3790,Tue Sep 27 02:53:48 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/mH0IOyFdIG
734,780543529827336192,6976,1997,Mon Sep 26 23:04:13 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/VG095mi09Q
735,780496263422808064,0,4278,Mon Sep 26 19:56:24 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
736,780476555013349377,0,136,Mon Sep 26 18:38:05 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
737,780459368902959104,5832,1216,Mon Sep 26 17:29:48 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/coi4l1T2Sm
738,780192070812196864,9640,2557,Sun Sep 25 23:47:39 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/zHIqpM5Gni
739,780092040432480260,0,2631,Sun Sep 25 17:10:10 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
740,780074436359819264,13596,5723,Sun Sep 25 16:00:13 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/dVm5Hgdpeb
741,779834332596887552,21061,8100,Sun Sep 25 00:06:08 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/x0gV2Ck3AD
742,779377524342161408,9758,3563,Fri Sep 23 17:50:56 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/KsqaIzlQ12
743,779124354206535695,0,21080,Fri Sep 23 01:04:56 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
744,779123168116150273,13069,4172,Fri Sep 23 01:00:13 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/uMfhduaate
745,779056095788752897,16367,5174,Thu Sep 22 20:33:42 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/I1bJUzUEW5
746,778990705243029504,22154,8336,Thu Sep 22 16:13:51 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/vyx1X5eyWI
747,778774459159379968,0,11417,Thu Sep 22 01:54:34 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
748,778764940568104960,948,421,Thu Sep 22 01:16:45 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/tird9cIlzB
749,778748913645780993,7637,1539,Thu Sep 22 00:13:04 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/1dpEuALnY0
750,778650543019483137,6388,1706,Wed Sep 21 17:42:10 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/SS4TsHlPUG
751,778624900596654080,5138,1156,Wed Sep 21 16:00:17 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/0rRxyBQt32
752,778408200802557953,15034,4967,Wed Sep 21 01:39:11 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/gJKD9pst5A
753,778396591732486144,0,14020,Wed Sep 21 00:53:04 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
754,778383385161035776,6468,1259,Wed Sep 21 00:00:35 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/zP1IvAATWv
755,778286810187399168,11476,3780,Tue Sep 20 17:36:50 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/hhTfnPrWfb
756,778039087836069888,9354,3022,Tue Sep 20 01:12:28 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/t8Y4x9DmVD
757,778027034220126208,7255,1861,Tue Sep 20 00:24:34 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/PxjSmYHfYo
758,777953400541634568,0,4031,Mon Sep 19 19:31:59 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
759,777885040357281792,7012,1874,Mon Sep 19 15:00:20 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/pL7wbMRW7M
760,777684233540206592,12408,3364,Mon Sep 19 01:42:24 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/SuXcI9B7pQ
761,777641927919427584,0,4887,Sun Sep 18 22:54:18 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
762,777621514455814149,9666,2858,Sun Sep 18 21:33:11 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/BnVTMtUeI3
763,777189768882946048,15785,4946,Sat Sep 17 16:57:35 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/d3aLyCykn7
764,776819012571455488,0,15667,Fri Sep 16 16:24:19 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
765,776813020089548800,5389,1385,Fri Sep 16 16:00:31 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/nFqLaOLUQA
766,776477788987613185,9806,3209,Thu Sep 15 17:48:25 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/iJE3F0VozW
767,776249906839351296,0,10522,Thu Sep 15 02:42:54 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
768,776218204058357768,33063,18250,Thu Sep 15 00:36:55 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/nzqTNw0744
769,776201521193218049,10590,2876,Wed Sep 14 23:30:38 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Pq150LeRaC
770,776113305656188928,12986,4987,Wed Sep 14 17:40:06 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/FYT9QBEnKG
771,776088319444877312,2022,176,Wed Sep 14 16:00:49 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/wOhuABgj6I
772,775898661951791106,0,17416,Wed Sep 14 03:27:11 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
773,775842724423557120,12921,3067,Tue Sep 13 23:44:54 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/saRYTcxQeH
774,775733305207554048,15291,4573,Tue Sep 13 16:30:07 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/9CcBSxCXXG
775,775729183532220416,14243,5239,Tue Sep 13 16:13:44 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/J39lT3b0rH
776,775364825476165632,8226,3420,Mon Sep 12 16:05:54 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/7FNcBaKbci
777,775350846108426240,11209,4477,Mon Sep 12 15:10:21 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/2OmDMAkkou
778,775085132600442880,17149,5410,Sun Sep 11 21:34:30 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/wdgY9oHPrT
